Hash,WidgetType,OriginalFilename,CanvasID,CanvasName,WidgetID,WidgetName,BackupStatus,BackupPath,BackupSize,BackupModified,BackupCount,AllBackupPaths
29f0c4b853ba3f6784b418a235b65965a4c592969e381f9b62393907d7b26da1,Image,Rogue device Wifi.png,f9dda3c5-12b0-474c-acad-ab2e1daad030,Parcours Cyber Securite v2,126523cb-45db-40dc-921e-ecaf639373bb,Rogue device Wifi.png,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\29\29f0c4b853ba3f6784b418a235b65965a4c592969e381f9b62393907d7b26da1,257297,2020-01-20 10:30:15,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\29\29f0c4b853ba3f6784b418a235b65965a4c592969e381f9b62393907d7b26da1
81e0e4f50a33064a9059c07b9d7bf6cac5677f9cf19165d5f85e4be1f76002fa,Image,2.CY_Loan_Portfolio_Overview.PNG,3ef47029-9996-456c-a71a-5422598bfed2,The Art of Possible in Audit NEW,50d4ee93-6497-4579-b19b-3d9a8c5875b3,2.CY_Loan_Portfolio_Overview.PNG,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\81\81e0e4f50a33064a9059c07b9d7bf6cac5677f9cf19165d5f85e4be1f76002fa,123595,2020-01-10 14:48:45,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\81\81e0e4f50a33064a9059c07b9d7bf6cac5677f9cf19165d5f85e4be1f76002fa
6052eb1d0fa2a6be897edd743e2970a2b0419377de4bd152e0d15b108d3f7895,Image,Autonomie des utilisateurs vs DSI.png,45c854aa-bfd0-4620-b562-d9b9f1c67058,20181213 - BOLLORE,a3060a6f-748c-42e5-b040-ea16c018d211,Autonomie des utilisateurs vs DSI.png,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\60\6052eb1d0fa2a6be897edd743e2970a2b0419377de4bd152e0d15b108d3f7895,1810,2020-01-10 14:39:07,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\60\6052eb1d0fa2a6be897edd743e2970a2b0419377de4bd152e0d15b108d3f7895
4be60a9f64c7d0782a76000e8d5139913df55dc2bd6f36d4cf0bc92361613cdd,Image,25864854057193623-original.png,0bbac829-7d14-4e09-b2fa-7088590840f7,201810 - ROYALCANINIC,27d39e57-c60d-44ae-93e4-9e6a0236b743,25864854057193623-original.png,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\4b\4be60a9f64c7d0782a76000e8d5139913df55dc2bd6f36d4cf0bc92361613cdd,17402,2022-10-12 18:06:42,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\4b\4be60a9f64c7d0782a76000e8d5139913df55dc2bd6f36d4cf0bc92361613cdd
04be7a80f3424654e58fbfdc8f273eb25f524ac57d8821dd9b632e59a57cc55a,Pdf,CYBER.pdf,869963c4-b463-4426-8151-48950153db33,2019 - FORMATIONS IC RISK MANAGEMENT,9c830f32-bfb1-4f78-bc48-bea8b98f867b,CYBER.pdf,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\04\04be7a80f3424654e58fbfdc8f273eb25f524ac57d8821dd9b632e59a57cc55a,2272592,2020-01-10 14:39:39,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\04\04be7a80f3424654e58fbfdc8f273eb25f524ac57d8821dd9b632e59a57cc55a
6cea3cf1bb69d3e238b92d2294d0e294cc9be36c7a73ff64a34e90cbb644f7b5,Pdf,Issues - Intro.pdf,313ff581-ea0b-48ea-86e8-d1d20ccccff1,23012019-AXA-FG03 (1),6fce39a0-757d-4a7c-8451-125b34212cb0,Issues - Intro.pdf,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\6c\6cea3cf1bb69d3e238b92d2294d0e294cc9be36c7a73ff64a34e90cbb644f7b5,1076467,2020-01-10 14:42:28,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\6c\6cea3cf1bb69d3e238b92d2294d0e294cc9be36c7a73ff64a34e90cbb644f7b5
5e7c5cb06b44d114e18bc9f067e3afce483a9f4dc8df976bf19c0c986ae925e1,Pdf,Contentsquare_CSM_V25 juin_P1.pdf,8e2d99c2-cf19-4766-80fc-ac76108c39ea,21_06_28  Contentsquare,fcbabd31-d5a7-436d-ba14-9502150a47f3,Contentsquare_CSM_V25 juin_P1.pdf,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\5e\5e7c5cb06b44d114e18bc9f067e3afce483a9f4dc8df976bf19c0c986ae925e1,423610,2021-06-25 18:55:23,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\5e\5e7c5cb06b44d114e18bc9f067e3afce483a9f4dc8df976bf19c0c986ae925e1
7d3dbe0ab5f6e481a03d0904aec05a93759c974519fac1b7d1b524163734ad92,Pdf,17 - Support Séminaire Hermès.pdf,ee9e1256-379b-4953-9fe8-3ce63e610afc,201811 -HERMESIC,c5c67e1e-8ecc-452b-bbae-a2cac9871482,17 - Support Séminaire Hermès.pdf,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\7d\7d3dbe0ab5f6e481a03d0904aec05a93759c974519fac1b7d1b524163734ad92,19611,2020-01-10 14:39:02,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\7d\7d3dbe0ab5f6e481a03d0904aec05a93759c974519fac1b7d1b524163734ad92
229469d849a8a7098ef09f099ef214deae8400d04745d264e86b1104a1aa8efe,Image,Titre journée.png,0b134b11-dc07-4156-aad4-8db02a97d827,21_09_14 Universites,0b5e5e92-fa63-40cb-b1e4-8e74f5adda12,Titre journée.png,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\22\229469d849a8a7098ef09f099ef214deae8400d04745d264e86b1104a1aa8efe,14793,2021-09-09 13:25:58,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\22\229469d849a8a7098ef09f099ef214deae8400d04745d264e86b1104a1aa8efe
814f2b7cb157e87aa9267ab0e0b0a6b0841ed129a8306662834fbb621d4b69c3,Pdf,Finance Work.pdf,046e9803-3f83-4e16-8d8f-c05dd9269355,21_05_28 Constellium,26d5f906-c4d1-4b31-b5d5-156c42d7514a,Finance Work.pdf,Found,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\81\814f2b7cb157e87aa9267ab0e0b0a6b0841ed129a8306662834fbb621d4b69c3,186031,2021-05-26 08:34:30,1,C:\ProgramData\MultiTaction\canvus\backups\1758054123_2025_09_16_3.3.0_mt-canvus_backup\assets\81\814f2b7cb157e87aa9267ab0e0b0a6b0841ed129a8306662834fbb621d4b69c3
